State,x,y
Ladakh,-84,247
Jammu & Kashmir,-135,229
Himachal Pradesh,-91,192
Uttarakhand,-58,160
Punjab,-129,178
Haryana,-110,142
Delhi,-94,133
Rajasthan,-174,107
Uttar Pradesh,-44,111
Madhya Pradesh,-88,32
Gujrat,-192,30
Maharashtra,-123,-32
Goa,-151,-112
Karnataka,-126,-118
Kerala,-111,-196
Tamilnadu,-76,-187
Andra Pradesh,-69,-119
Telangana,-69,-70
Odisha,31,-14
Chhattisgarh,-16,2
Jharkhand,41,40
Bihar,48,80
West Bangal,86,31
Sikkim,96,119
Assam,163,97
Meghalaya,149,79
Tripura,153,46
Arunachal Pradesh,196,134
Nagaland,204,94
Manipur,191,64
Mizoram,174,44
